"Step","Name: Prod-TD3-BC-noLN-hopper-medium - d4rl_normalized_score","Name: Prod-TD3-BC-noLN-hopper-medium - d4rl_normalized_score__MIN","Name: Prod-TD3-BC-noLN-hopper-medium - d4rl_normalized_score__MAX","Name: Prod-TD3-BC-pretrainAC10k-hopper-medium - d4rl_normalized_score","Name: Prod-TD3-BC-pretrainAC10k-hopper-medium - d4rl_normalized_score__MIN","Name: Prod-TD3-BC-pretrainAC10k-hopper-medium - d4rl_normalized_score__MAX","Name: Prod-TD3-BC-pretrainBC10k-hopper-medium - d4rl_normalized_score","Name: Prod-TD3-BC-pretrainBC10k-hopper-medium - d4rl_normalized_score__MIN","Name: Prod-TD3-BC-pretrainBC10k-hopper-medium - d4rl_normalized_score__MAX","Name: Prod-TD3-BC-hopper-medium - d4rl_normalized_score","Name: Prod-TD3-BC-hopper-medium - d4rl_normalized_score__MIN","Name: Prod-TD3-BC-hopper-medium - d4rl_normalized_score__MAX"
"1000","0.7883233817827939","0.779692395511547","0.8003669432297217","38.51755323103641","19.79274569080451","50.4915739059622","38.31284905633594","19.79274569080451","50.4915739059622","30.732220406541355","27.845271010458482","34.87328067115749"
"2000","1.087164588151991","0.7888005086483598","1.6749979443860636","57.57606974009204","51.339201181669935","63.4426906148076","52.215957016594054","47.36235244431366","57.946317423798575","27.58042030833899","18.698591278519675","33.70910577451717"
"3000","0.798368225159385","0.7854020300553997","0.8182332574265532","56.245860841837185","40.016376411565965","65.32569968706198","51.256088332562875","40.016376411565965","63.39550642688361","30.19053521131907","25.264382368346467","33.850014029912444"
"4000","1.5745023093520256","0.7895472503433788","3.143419475458579","52.04412175422184","51.500100030632844","52.913865540925606","51.72478848059915","50.76039987023899","52.913865540925606","30.76066642075841","29.525876892079822","31.81796816258412"
"5000","1.77913275329657","0.7898072824303879","3.7577586012478044","46.59721542554113","40.869148299082006","50.30045048825295","48.03038409362549","40.869148299082006","54.59995649250604","27.288485961775937","22.0181959633885","30.370659845445896"
"6000","2.0204333015655513","0.7861728344715735","4.484499774613043","45.51185588742029","41.0694936894791","49.41717223935751","42.88188021651823","38.15897472071811","49.41717223935751","30.423771347853272","25.65677368567647","35.57601615442147"
"7000","2.054964724017673","0.7880758050660474","4.586032730913676","42.94626467423016","32.93616646406618","50.94240284944633","40.53942862612046","32.93616646406618","44.96022470917795","30.763485397007543","29.702251701699794","32.360735068694666"
"8000","2.186616750387189","0.7867292453695156","4.983360265846249","50.686656992436006","49.61766384534259","52.426505065133696","49.83183326006886","47.4513308697303","52.426505065133696","29.29149145693481","28.04047615154207","30.54264879938204"
"9000","16.398178809756395","0.7891633868857247","47.615280579736144","38.337509984065385","31.018577033148226","50.93607625606723","44.669423653295986","31.018577033148226","52.053617670672516","29.65785546947606","28.707226638681238","31.38339954654069"
"10000","16.05982266104413","0.7882491531364395","46.600413617772254","55.45084297761684","48.81437451304495","63.227723520298454","59.806150841823374","54.31043089950709","63.227723520298454","28.99430280429983","28.037813413974522","30.46078083965108"
"11000","14.563517494152888","0.7909251463615862","42.10765597515198","53.658044707021425","48.1669361295117","63.58399643139302","33.496152689248724","24.942703423909588","41.25453314158575","25.869795235243263","21.623076174053406","28.23376069107293"
"12000","17.55892410293735","0.7943997799533177","50.54479006727646","51.568061114059326","44.96167679671672","56.06532574802059","37.62144246950078","31.8760120382087","44.11513672688135","27.316178288886487","21.907349529019594","32.21075911961967"
"13000","27.8330092552076","0.7919098163646677","43.900653854305915","51.76953261521249","40.78979645500836","58.8436675974052","30.579056152392535","29.581142929280134","32.194790633985676","26.596209220028914","22.291529838209136","28.761136923161878"
"14000","34.4558173676273","0.7961428357732732","53.35281522221392","53.52866305561779","45.90008665070548","60.31983945572493","28.504359768326236","25.52573427171405","30.549836691972544","24.371450752844197","21.779607399130853","28.712501642184883"
"15000","28.658934754811128","2.3532223689425633","42.10660419771232","44.95503812242267","38.65495908220255","48.51031108272298","30.550125274216423","24.591496651999908","35.21701469251191","23.210189796036804","18.985965472818737","28.952498275549377"
"16000","27.742659062422273","1.0641372649784018","42.4948935395946","44.32364232118446","40.714192880366724","49.807394837536684","28.573771912961927","26.25438237179076","29.921879118554003","21.10466287511515","18.522167714558478","23.006068918197457"
"17000","38.669523216585254","1.3503886939077068","59.63488714126203","46.07334453445137","39.467224916699344","51.237289681429786","26.51388382767634","24.284998301016632","28.859535215477806","21.300717517748364","18.061000852182616","23.246222366965107"
"18000","29.5876144945798","3.770533638337876","46.36762806477206","44.47671588180375","41.51434675305075","47.16926094234076","27.632076699114545","26.459333823048","28.90674040097887","24.252828831432794","21.727300876315038","28.886153040016467"
"19000","26.46929038366888","5.154324574179716","44.312436415935366","52.01900870818313","40.513253152495736","58.83497328171743","28.384353927828872","25.844844298796733","31.945179171349373","21.621322862126874","16.448270471000768","26.655743762569184"
"20000","23.87265440513487","4.664709363998128","49.96887196265633","58.014096840072135","52.525908769634846","63.778376176104615","27.55549477263429","26.875923551430393","28.50744315030573","22.152866212630897","15.800343935878889","29.082287393081817"
"21000","18.64523056543123","5.431551038623686","33.83660600703235","53.04247436670088","44.96369940709356","62.39202194299687","28.005975321422437","27.006367400562993","29.546504106515908","22.915080700984266","19.072210254982302","30.511235109017456"
"22000","22.500252796334138","5.9235960456477565","51.733994963692375","61.232874755476814","52.83027104756231","68.91770472324446","27.238481143334614","26.225994170431033","27.894129362840903","20.386917391625534","16.13902918882172","24.162469775794126"
"23000","20.95038506248869","5.176184144909329","47.46796752340617","55.234682139286214","42.2862299567561","65.50502387896874","27.764702888098707","26.817765083864376","28.986491431429307","20.896235399882656","19.359013381210374","22.51585118307722"
"24000","20.468629831384508","6.997465971685317","43.38069855746863","51.98125742518892","43.27884757718511","62.75220435106572","22.357054607245175","20.422455329445203","24.73453385552025","23.03014582763608","18.224291843688857","32.16962828010548"
"25000","38.84324830510204","11.195779870603573","61.340611277708135","59.14149233421921","52.32366500047285","70.82469404834409","25.415520716766512","21.320167861649132","28.362341837200905","20.10061741475889","15.164733686493154","23.19454042515701"
"26000","25.47495797125597","9.97393867880289","34.584524858762286","56.26926228487412","48.109371007270276","63.081649820810156","25.114381453846033","22.15886142672232","26.736774184638833","22.642287266371138","20.053571541806622","24.000955523329456"
"27000","27.994576525522707","10.376394727551205","63.13034698227309","56.84852683634832","56.184695467933075","58.047553758302364","25.560347509685368","22.630733908867217","28.288882074877996","22.388024875166526","20.56000899093847","25.53287641855825"
"28000","17.351378755893844","14.45792300834278","20.468119848745804","55.63659257397393","54.368874145674184","57.440819008124045","22.337594376275728","19.827207452730804","25.673229850489044","22.02967420446558","20.300036449262514","24.723052287492553"
"29000","24.699344030647676","10.168664393279183","32.88261900132545","73.32761914844548","66.58789798838848","83.99435677694927","26.946189717312418","21.429275998201337","30.15153843211071","23.351576402323918","21.8874884499579","25.599459527183626"
"30000","32.89072006305998","10.181906394568285","54.42945556368489","63.17722029109467","42.75276840668551","73.81369960808158","21.809728188137957","21.082621048178915","22.851142022470885","23.090045393202995","21.93887354694752","23.983695611124713"
"31000","19.022728087564122","10.006401699915187","36.62749157821021","58.58090600710759","44.1493416469079","66.88447300838891","25.498325359735492","22.967195320493108","27.031427877123075","24.51404360577472","21.40913305630062","26.673020696700693"
"32000","34.96019984705932","18.17952691013566","51.69583976216639","54.60789833627978","52.39666043265706","57.951023501123636","24.753984586324535","17.48206617955061","34.672312869149266","22.27605486762316","16.89973457794436","26.21368753983503"
"33000","40.58238739458264","24.05890269477683","49.70909416832122","63.8050915526502","53.12920834571497","71.41540100165693","21.469295925163426","20.266992519313746","22.540381373434137","24.441667047433242","23.14107377181875","26.633959089563515"
