"Step","Name: Prod-TD3-BC-TD0.9-hopper-medium - d4rl_normalized_score","Name: Prod-TD3-BC-TD0.9-hopper-medium - d4rl_normalized_score__MIN","Name: Prod-TD3-BC-TD0.9-hopper-medium - d4rl_normalized_score__MAX","Name: Prod-TD3-BC-TD0.1-hopper-medium - d4rl_normalized_score","Name: Prod-TD3-BC-TD0.1-hopper-medium - d4rl_normalized_score__MIN","Name: Prod-TD3-BC-TD0.1-hopper-medium - d4rl_normalized_score__MAX","Name: Prod-TD3-BC-TD0.5-hopper-medium - d4rl_normalized_score","Name: Prod-TD3-BC-TD0.5-hopper-medium - d4rl_normalized_score__MIN","Name: Prod-TD3-BC-TD0.5-hopper-medium - d4rl_normalized_score__MAX","Name: Prod-TD3-BC-TD1-hopper-medium - d4rl_normalized_score","Name: Prod-TD3-BC-TD1-hopper-medium - d4rl_normalized_score__MIN","Name: Prod-TD3-BC-TD1-hopper-medium - d4rl_normalized_score__MAX","Name: Prod-TD3-BC-pretrainAC10k-hopper-medium - d4rl_normalized_score","Name: Prod-TD3-BC-pretrainAC10k-hopper-medium - d4rl_normalized_score__MIN","Name: Prod-TD3-BC-pretrainAC10k-hopper-medium - d4rl_normalized_score__MAX","Name: Prod-TD3-BC-hopper-medium - d4rl_normalized_score","Name: Prod-TD3-BC-hopper-medium - d4rl_normalized_score__MIN","Name: Prod-TD3-BC-hopper-medium - d4rl_normalized_score__MAX"
"1000","39.96803226258015","19.79274569080451","50.4915739059622","39.96803226258015","19.79274569080451","50.4915739059622","39.96803226258015","19.79274569080451","50.4915739059622","39.96803226258015","19.79274569080451","50.4915739059622","38.51755323103641","19.79274569080451","50.4915739059622","30.732220406541355","27.845271010458482","34.87328067115749"
"2000","52.13393188192716","47.11627704031296","57.946317423798575","52.13393188192716","47.11627704031296","57.946317423798575","52.13393188192716","47.11627704031296","57.946317423798575","52.13393188192716","47.11627704031296","57.946317423798575","57.57606974009204","51.339201181669935","63.4426906148076","27.58042030833899","18.698591278519675","33.70910577451717"
"3000","51.538496164069095","40.016376411565965","63.39550642688361","51.538496164069095","40.016376411565965","63.39550642688361","51.538496164069095","40.016376411565965","63.39550642688361","51.538496164069095","40.016376411565965","63.39550642688361","56.245860841837185","40.016376411565965","65.32569968706198","30.19053521131907","25.264382368346467","33.850014029912444"
"4000","51.74775099035142","50.82928739949581","52.913865540925606","51.74775099035142","50.82928739949581","52.913865540925606","51.74775099035142","50.82928739949581","52.913865540925606","51.74775099035142","50.82928739949581","52.913865540925606","52.04412175422184","51.500100030632844","52.913865540925606","30.76066642075841","29.525876892079822","31.81796816258412"
"5000","46.558933225314924","40.869148299082006","50.185603887574324","46.558933225314924","40.869148299082006","50.185603887574324","46.558933225314924","40.869148299082006","50.185603887574324","46.558933225314924","40.869148299082006","50.185603887574324","46.59721542554113","40.869148299082006","50.30045048825295","27.288485961775937","22.0181959633885","30.370659845445896"
"6000","48.08470046938525","41.0694936894791","53.76743547931915","48.08470046938525","41.0694936894791","53.76743547931915","48.08470046938525","41.0694936894791","53.76743547931915","48.08470046938525","41.0694936894791","53.76743547931915","45.51185588742029","41.0694936894791","49.41717223935751","30.423771347853272","25.65677368567647","35.57601615442147"
"7000","45.11026861242573","32.93616646406618","57.43441466403305","45.11026861242573","32.93616646406618","57.43441466403305","45.11026861242573","32.93616646406618","57.43441466403305","45.11026861242573","32.93616646406618","57.43441466403305","42.94626467423016","32.93616646406618","50.94240284944633","30.763485397007543","29.702251701699794","32.360735068694666"
"8000","49.28008987171025","45.79610070465445","52.426505065133696","49.28008987171025","45.79610070465445","52.426505065133696","49.28008987171025","45.79610070465445","52.426505065133696","49.28008987171025","45.79610070465445","52.426505065133696","50.686656992436006","49.61766384534259","52.426505065133696","29.29149145693481","28.04047615154207","30.54264879938204"
"9000","40.48653453151447","31.018577033148226","50.93607625606723","40.48653453151447","31.018577033148226","50.93607625606723","40.48653453151447","31.018577033148226","50.93607625606723","40.48653453151447","31.018577033148226","50.93607625606723","38.337509984065385","31.018577033148226","50.93607625606723","29.65785546947606","28.707226638681238","31.38339954654069"
"10000","57.34253021586255","54.31043089950709","63.227723520298454","57.34253021586255","54.31043089950709","63.227723520298454","57.34253021586255","54.31043089950709","63.227723520298454","57.34253021586255","54.31043089950709","63.227723520298454","55.45084297761684","48.81437451304495","63.227723520298454","28.99430280429983","28.037813413974522","30.46078083965108"
