"Step","Name: Prod-EDAC-noLN-halfcheetah-medium - eval/normalized_score_mean","Name: Prod-EDAC-noLN-halfcheetah-medium - eval/normalized_score_mean__MIN","Name: Prod-EDAC-noLN-halfcheetah-medium - eval/normalized_score_mean__MAX","Name: Prod-EDAC-pretrainBC20-halfcheetah-medium - eval/normalized_score_mean","Name: Prod-EDAC-pretrainBC20-halfcheetah-medium - eval/normalized_score_mean__MIN","Name: Prod-EDAC-pretrainBC20-halfcheetah-medium - eval/normalized_score_mean__MAX","Name: Prod-EDAC-halfcheetah-medium - eval/normalized_score_mean","Name: Prod-EDAC-halfcheetah-medium - eval/normalized_score_mean__MIN","Name: Prod-EDAC-halfcheetah-medium - eval/normalized_score_mean__MAX","Name: Prod-EDAC-pretrainAC20-halfcheetah-medium - eval/normalized_score_mean","Name: Prod-EDAC-pretrainAC20-halfcheetah-medium - eval/normalized_score_mean__MIN","Name: Prod-EDAC-pretrainAC20-halfcheetah-medium - eval/normalized_score_mean__MAX"
"10","2.2246189053158134","2.204087826946688","2.2381869384833233","27.2506414615346","9.457976357262613","36.61264528100536","2.1738274103537583","2.1290515849553904","2.2408088409583664","27.340662353143614","9.457976357262613","36.61264528100536"
"21","2.185685991679043","2.102158945781249","2.23727637322503","40.040334493289365","39.42577453996684","40.57510429486825","2.2024424824855564","2.192254664317768","2.2122742321543445","40.109710991265906","39.42577453996684","40.57510429486825"
"32","2.1264811120309837","2.058384996179717","2.249875456584661","41.58270911434124","41.4738678069545","41.69050447160272","2.1123335573283204","2.0296975754842985","2.166381684281775","41.57563521786263","41.45264611751868","41.69050447160272"
"43","2.200850440997781","1.9840492840611517","2.611220339013882","42.09434144317087","41.46350322482531","42.56195081464366","2.3102078039939884","2.0344285680388356","2.6590243076199642","42.180318968183606","41.46350322482531","42.56195081464366"
"54","1.2672627071094775","0.6642207624191003","2.1698266323701185","42.63005474589939","42.52523616859971","42.773063297983114","0.4059981227528644","-2.202785747402892","1.9470281246616903","42.211583016309994","41.51764810921491","42.59186477111537"
"65","0.4950327766676927","-0.24371559043154192","0.8900155200777624","42.777000304976774","42.71284441506101","42.82048080149009","-0.4620837441943498","-2.2820816468719745","0.6411738836477201","42.6176254151556","42.34235613202656","42.79767569837922"
"76","-0.04958946105935343","-0.2405523238908185","0.18475957438448526","43.17779176001585","42.98412847615613","43.53195211871364","-0.08316465635823089","-2.3487158396209677","1.3551808990006378","42.89164503705223","42.67351194982278","43.01729468517779"
"87","0.6531124640374447","-0.17104037207957196","1.7142459313084957","42.84360729798684","42.53499448110724","43.44384831557061","0.444087502922613","-0.5495140556774669","1.1530990891633341","43.201188811543915","42.55197909728267","43.60773902177846"
"98","0.9013764660871901","0.3183331241249784","1.4592848997029495","42.865783668976235","42.506170840259806","43.39422787285217","2.0045716636090547","1.5529104289157485","2.249625157902417","42.399015836646534","41.993924375863095","42.69695229381672"
"109","0.6272163799425684","-0.237279668397906","1.907509442533494","42.95739275608315","42.60138788327778","43.191926563864754","1.9225953049666178","1.3993263086189607","2.5702507513659625","43.03794736536434","42.84305171112134","43.191926563864754"
