"Step","ProdTD3HCAC2 - d4rl_normalized_score","ProdTD3HCAC2 - d4rl_normalized_score__MIN","ProdTD3HCAC2 - d4rl_normalized_score__MAX","ProdTD3HCAC1 - d4rl_normalized_score","ProdTD3HCAC1 - d4rl_normalized_score__MIN","ProdTD3HCAC1 - d4rl_normalized_score__MAX","ProdTD3HCAC0 - d4rl_normalized_score","ProdTD3HCAC0 - d4rl_normalized_score__MIN","ProdTD3HCAC0 - d4rl_normalized_score__MAX"
"1000","35.58727659188365","35.58727659188365","35.58727659188365","36.38060875698771","36.38060875698771","36.38060875698771","30.291008824641796","30.291008824641796","30.291008824641796"
"2000","40.67017477941","40.67017477941","40.67017477941","42.359329434614814","42.359329434614814","42.359329434614814","42.76982333740864","42.76982333740864","42.76982333740864"
"3000","40.322011203491904","40.322011203491904","40.322011203491904","38.61793229547422","38.61793229547422","38.61793229547422","42.49151835650333","42.49151835650333","42.49151835650333"
"4000","41.47598096291614","41.47598096291614","41.47598096291614","42.112147407774174","42.112147407774174","42.112147407774174","43.098650735253564","43.098650735253564","43.098650735253564"
"5000","37.44221804567769","37.44221804567769","37.44221804567769","40.41227370871831","40.41227370871831","40.41227370871831","42.94666899211009","42.94666899211009","42.94666899211009"
"6000","42.751802190760365","42.751802190760365","42.751802190760365","42.37942733901833","42.37942733901833","42.37942733901833","33.856345685694684","33.856345685694684","33.856345685694684"
"7000","39.37626145154115","39.37626145154115","39.37626145154115","42.72829580240505","42.72829580240505","42.72829580240505","42.75883541724995","42.75883541724995","42.75883541724995"
"8000","40.0460373436011","40.0460373436011","40.0460373436011","39.84532605570821","39.84532605570821","39.84532605570821","37.925525258877","37.925525258877","37.925525258877"
"9000","42.51085904073605","42.51085904073605","42.51085904073605","36.83774586885883","36.83774586885883","36.83774586885883","38.52265472239068","38.52265472239068","38.52265472239068"
"10000","42.792483026649215","42.792483026649215","42.792483026649215","42.02850372903522","42.02850372903522","42.02850372903522","42.649355049478","42.649355049478","42.649355049478"
"11000","42.77835247161166","42.77835247161166","42.77835247161166","42.438710964277185","42.438710964277185","42.438710964277185","42.920084809895044","42.920084809895044","42.920084809895044"
"12000","42.25722560401174","42.25722560401174","42.25722560401174","42.744166830277","42.744166830277","42.744166830277","39.78142879367734","39.78142879367734","39.78142879367734"
"13000","42.30726389004421","42.30726389004421","42.30726389004421","42.026701639763616","42.026701639763616","42.026701639763616","39.764684258169176","39.764684258169176","39.764684258169176"
"14000","33.611896193303565","33.611896193303565","33.611896193303565","41.83412407368351","41.83412407368351","41.83412407368351","42.05999444437214","42.05999444437214","42.05999444437214"
"15000","43.02200055765183","43.02200055765183","43.02200055765183","42.759247663287084","42.759247663287084","42.759247663287084","42.722996732872254","42.722996732872254","42.722996732872254"
"16000","39.479967509336774","39.479967509336774","39.479967509336774","41.92167342371033","41.92167342371033","41.92167342371033","36.98077423076719","36.98077423076719","36.98077423076719"
"17000","39.40367786742113","39.40367786742113","39.40367786742113","42.45696858189867","42.45696858189867","42.45696858189867","41.602656017753596","41.602656017753596","41.602656017753596"
"18000","40.748037723145394","40.748037723145394","40.748037723145394","42.87601857007443","42.87601857007443","42.87601857007443","40.3324377532586","40.3324377532586","40.3324377532586"
"19000","40.53049590350126","40.53049590350126","40.53049590350126","37.92006903900859","37.92006903900859","37.92006903900859","35.627599727224215","35.627599727224215","35.627599727224215"
"20000","42.731543929544046","42.731543929544046","42.731543929544046","42.13677555594896","42.13677555594896","42.13677555594896","42.057638775574944","42.057638775574944","42.057638775574944"
"21000","42.38234933416741","42.38234933416741","42.38234933416741","38.59864259968381","38.59864259968381","38.59864259968381","33.41227519262602","33.41227519262602","33.41227519262602"
"22000","41.69990269238316","41.69990269238316","41.69990269238316","41.97485594014289","41.97485594014289","41.97485594014289","35.92777173232472","35.92777173232472","35.92777173232472"
"23000","41.02055715028374","41.02055715028374","41.02055715028374","40.72807498932479","40.72807498932479","40.72807498932479","39.36473160302387","39.36473160302387","39.36473160302387"
"24000","42.25041304858046","42.25041304858046","42.25041304858046","37.46108516165229","37.46108516165229","37.46108516165229","42.37969115060372","42.37969115060372","42.37969115060372"
"25000","39.96987454808227","39.96987454808227","39.96987454808227","29.20717355975872","29.20717355975872","29.20717355975872","17.017546223903967","17.017546223903967","17.017546223903967"
"26000","39.03294442822899","39.03294442822899","39.03294442822899","37.156730771178985","37.156730771178985","37.156730771178985","42.34585055034497","42.34585055034497","42.34585055034497"
"27000","41.48940980103376","41.48940980103376","41.48940980103376","40.90360125145646","40.90360125145646","40.90360125145646","37.61581355615785","37.61581355615785","37.61581355615785"
"28000","33.8664980268024","33.8664980268024","33.8664980268024","40.70032733362448","40.70032733362448","40.70032733362448","39.85689024614481","39.85689024614481","39.85689024614481"
"29000","40.65194353950968","40.65194353950968","40.65194353950968","41.736975435129985","41.736975435129985","41.736975435129985","41.389345740191","41.389345740191","41.389345740191"
"30000","40.7283792999453","40.7283792999453","40.7283792999453","37.40517430507433","37.40517430507433","37.40517430507433","40.963777506663746","40.963777506663746","40.963777506663746"
"31000","40.2812149283054","40.2812149283054","40.2812149283054","39.485796853996916","39.485796853996916","39.485796853996916","41.655613708665165","41.655613708665165","41.655613708665165"
"32000","42.59817889045572","42.59817889045572","42.59817889045572","39.67932668834461","39.67932668834461","39.67932668834461","41.10700144243528","41.10700144243528","41.10700144243528"
"33000","40.12687030681759","40.12687030681759","40.12687030681759","39.13759089808831","39.13759089808831","39.13759089808831","41.76677340449168","41.76677340449168","41.76677340449168"
"34000","39.88657919465946","39.88657919465946","39.88657919465946","40.207352957920634","40.207352957920634","40.207352957920634","42.94592272128481","42.94592272128481","42.94592272128481"
"35000","41.61303390593287","41.61303390593287","41.61303390593287","33.964991543209756","33.964991543209756","33.964991543209756","42.434436054393615","42.434436054393615","42.434436054393615"
"36000","40.65048561383059","40.65048561383059","40.65048561383059","42.48741198080982","42.48741198080982","42.48741198080982","40.70931742483654","40.70931742483654","40.70931742483654"
"37000","41.084952430211544","41.084952430211544","41.084952430211544","41.73127052043076","41.73127052043076","41.73127052043076","37.36637618222456","37.36637618222456","37.36637618222456"
"38000","42.316837328804354","42.316837328804354","42.316837328804354","42.44928924526627","42.44928924526627","42.44928924526627","42.06820339916645","42.06820339916645","42.06820339916645"
"39000","39.89798058397057","39.89798058397057","39.89798058397057","41.92152595193409","41.92152595193409","41.92152595193409","42.983760971250526","42.983760971250526","42.983760971250526"
"40000","42.9010453340083","42.9010453340083","42.9010453340083","41.29270452401069","41.29270452401069","41.29270452401069","39.734168865501914","39.734168865501914","39.734168865501914"
"41000","40.843867183949186","40.843867183949186","40.843867183949186","42.15677333709129","42.15677333709129","42.15677333709129","42.54707443150101","42.54707443150101","42.54707443150101"
"42000","43.008106470369135","43.008106470369135","43.008106470369135","40.54367906316946","40.54367906316946","40.54367906316946","43.30443066265094","43.30443066265094","43.30443066265094"
"43000","43.0924706135081","43.0924706135081","43.0924706135081","43.364955321553495","43.364955321553495","43.364955321553495","44.12963796593532","44.12963796593532","44.12963796593532"
"44000","38.81720220080446","38.81720220080446","38.81720220080446","43.48842295398113","43.48842295398113","43.48842295398113","39.87080162608268","39.87080162608268","39.87080162608268"
"45000","43.07304781113419","43.07304781113419","43.07304781113419","42.44141044938996","42.44141044938996","42.44141044938996","44.15084869641357","44.15084869641357","44.15084869641357"
"46000","43.257848830805486","43.257848830805486","43.257848830805486","43.108023408856795","43.108023408856795","43.108023408856795","39.88003768869655","39.88003768869655","39.88003768869655"
"47000","43.13046293334576","43.13046293334576","43.13046293334576","41.574393319884365","41.574393319884365","41.574393319884365","43.25822245966314","43.25822245966314","43.25822245966314"
"48000","41.80289247671362","41.80289247671362","41.80289247671362","43.22833793053654","43.22833793053654","43.22833793053654","42.314071864798144","42.314071864798144","42.314071864798144"
"49000","43.44052241422085","43.44052241422085","43.44052241422085","43.076531344189014","43.076531344189014","43.076531344189014","44.315664361488224","44.315664361488224","44.315664361488224"
"50000","44.09507094025349","44.09507094025349","44.09507094025349","43.309988058211054","43.309988058211054","43.309988058211054","42.99718268345184","42.99718268345184","42.99718268345184"
