"Step","Name: TD3-BC-hopper-full-replay - d4rl_normalized_score","Name: TD3-BC-hopper-full-replay - d4rl_normalized_score__MIN","Name: TD3-BC-hopper-full-replay - d4rl_normalized_score__MAX","Name: TD3-BC-pretrainAC10-hopper-full-replay - d4rl_normalized_score","Name: TD3-BC-pretrainAC10-hopper-full-replay - d4rl_normalized_score__MIN","Name: TD3-BC-pretrainAC10-hopper-full-replay - d4rl_normalized_score__MAX"
"1000","16.656473870770764","11.508379867666083","24.245318788635657","15.439641738844744","8.932643340998714","21.28757451005723"
"2000","14.333243355834846","11.156414062831637","19.639410470598147","29.0036033583075","24.175408460417167","36.44900447877795"
"3000","19.711778724656956","11.750926827549293","25.273704854192445","23.33803550548606","16.05177573752202","29.728739114715808"
"4000","16.310847493197908","11.389491090328404","25.961120752218815","17.725070209593724","2.593918130407873","32.4131587013622"
"5000","19.60115337892819","12.221620322811681","26.117603705195613","23.172197895898773","16.561186036972817","35.92512518466949"
"6000","17.728841179316777","11.889617266214872","24.673049991372874","24.00660560932239","18.946387921917815","32.34487763881231"
"7000","20.07493194630025","14.804092478505785","25.855081522411055","9.330200085375148","4.427946950608509","13.996034734212673"
"8000","18.29409845888046","12.717936241877192","21.867722481866846","27.002438431023066","10.957199953747535","40.729597856005505"
"9000","22.795599884338277","21.008679496877537","24.397944841368425","21.75452326340334","14.362845688180748","25.705454307614566"
"10000","20.829550337282203","16.76965672357499","24.37367910788881","30.340684175518216","22.267099271847844","34.42285970741519"
"11000","19.580333524201446","13.015911821760232","22.937678665629594","29.420916236570292","23.35740811989456","40.43573888728812"
"12000","21.25685420730924","18.056734555678766","24.59608319592055","39.23824098315185","27.84581042913382","48.372109559674286"
"13000","20.97084692425408","17.669218303435922","24.349454514416145","27.38577194324992","21.79015055970783","33.95037045310941"
"14000","17.41450263313318","11.685892607617275","21.73490555879034","31.487416048093568","28.379508921939166","35.96617873630647"
"15000","21.22731547775657","19.76237923826286","23.915689175835688","27.542737389900793","23.219046884739935","31.654390346275967"
"16000","20.16080045507392","16.93102494981202","22.02336376917533","29.736340911043012","24.32623583298962","34.916602649466114"
"17000","24.345052086976597","17.103103902855104","31.347800582762265","42.149323870398035","29.98554126603159","63.967137034104205"
"18000","17.656945831071763","12.882354307860549","20.0660914792118","27.189442273554395","25.46166353491481","30.401754074529606"
"19000","23.78576147003922","22.241232201792922","25.480679092312585","47.626823032473055","29.014224233840846","82.25827550117155"
"20000","21.80337657146248","18.218574924648053","25.392809364827595","48.19111617786306","29.37604317794278","76.1455829982937"
"21000","21.616863147911676","20.320096506498977","23.780519945226764","36.024794162142996","32.9483071679951","38.151730624533045"
"22000","22.805591958624557","16.118286081986632","31.648155458950562","52.97826368342431","31.362044740103002","70.07092128557389"
