"Step","Name: Prod-EDAC-pretrainAC100TD0.5-walker2d-medium - eval/normalized_score_mean","Name: Prod-EDAC-pretrainAC100TD0.5-walker2d-medium - eval/normalized_score_mean__MIN","Name: Prod-EDAC-pretrainAC100TD0.5-walker2d-medium - eval/normalized_score_mean__MAX","Name: Prod-EDAC-pretrainBC50-walker2d-medium - eval/normalized_score_mean","Name: Prod-EDAC-pretrainBC50-walker2d-medium - eval/normalized_score_mean__MIN","Name: Prod-EDAC-pretrainBC50-walker2d-medium - eval/normalized_score_mean__MAX","Name: Prod-EDAC-noLN-walker2d-medium - eval/normalized_score_mean","Name: Prod-EDAC-noLN-walker2d-medium - eval/normalized_score_mean__MIN","Name: Prod-EDAC-noLN-walker2d-medium - eval/normalized_score_mean__MAX","Name: Prod-EDAC-walker2d-medium - eval/normalized_score_mean","Name: Prod-EDAC-walker2d-medium - eval/normalized_score_mean__MIN","Name: Prod-EDAC-walker2d-medium - eval/normalized_score_mean__MAX"
"10","57.209834079253945","38.4940658498197","76.25900216182137","58.16748474137403","41.36701783617993","76.25900216182137","1.144249941380327","-0.0314696941147805","1.9643185144656812","4.426850677624888","1.296216437485866","6.178286613820258"
"21","63.67384841626545","61.06062686967873","68.18822065303593","61.58937525060617","55.51927822910386","68.18822065303593","-0.0478827275856831","-0.3608681392351211","0.14580465850263","0.8170956991531909","-0.08154221797205086","1.6648824481378874"
"32","67.55122668910151","61.589319603239936","70.9033793060319","69.12732518028952","61.589319603239936","75.63167477959594","-0.04915341155787942","-0.3822700116001054","0.23827967754003324","4.38086560420934","0.7347169674676163","6.602083922031355"
"43","62.93904886467258","50.97486802562045","71.33053423947024","63.056536573918976","51.32733115335964","71.33053423947024","2.8485363252791505","-0.1679925917311466","8.027002666572177","5.550101495155309","3.0138714400134536","7.458636630568003"
"54","62.19998178793301","52.67293895838335","78.42400469275063","63.337012514765156","52.67293895838335","81.83509687324707","1.7618119914636072","-0.9202863798614451","6.300974868544195","6.082720948226592","5.571733450022606","6.4086684536508205"
"65","76.51438936154584","73.52304992014467","79.65222523305297","72.02638062373963","66.18819901963435","76.36789293143988","0.46507838487473857","-0.07437260640200598","1.5220171867744345","6.299622766751132","0.14957201713069568","12.14801498288117"
"76","68.25620949744184","66.3781047950983","69.32044249979397","68.69766561288651","66.3781047950983","70.39444954376728","0.9243646841009711","-0.2742015963895558","2.9081277031792405","6.357593464520259","5.341481545548386","6.8883058756108"
"87","64.23364405329114","48.59692379374998","76.2047316192594","66.52508701901395","48.59692379374998","76.2047316192594","0.3805760494291655","-0.33656958692298505","1.640034933449171","1.2562870990839676","-0.15243594084616932","3.954642379437863"
"98","76.12881828811398","74.9995634180116","77.776479076905","72.41262117889544","63.85097209035602","77.776479076905","0.11224322195928937","-0.4198430375514105","0.9544565986327969","1.0321127530102678","-0.14954986575252643","3.370623054000686"
"109","66.44393618062522","61.09331403715305","69.53663359109505","67.93775965777157","61.09331403715305","74.0181040225341","-0.14906821728288533","-0.44004315599680205","0.05893827380706977","-0.11367774876534815","-0.18537159886341234","-0.055457127913708104"
"120","67.03182599626574","65.6086555332694","68.19215212989002","69.13025848223326","65.6086555332694","73.58996778354036","-0.1796654665765199","-0.3724659082338753","0.04893381680994051","2.004441180109516","-0.046313826280016915","5.6320204598157115"
"131","63.67712143365056","55.50898946533548","68.38107885360891","65.57264212572439","55.50898946533548","74.06764092983039","-0.29374861032679034","-0.3481898862390884","-0.22216307573757543","0.06247405588947345","-0.1554643898470967","0.30321268790717254"
"142","72.36482448064237","67.9397708006883","74.94308028036531","72.96493917997742","67.9397708006883","76.01196645887866","-0.10224004850014745","-0.17080775603408332","0.016811140340717085","1.2210581123165596","-0.15113913094600603","3.526106112930164"
"153","71.92227394270627","70.61938672716603","73.6357028687056","72.08853705879173","70.61938672716603","73.6357028687056","-0.16356061155490303","-0.17687765119479884","-0.148173945687822","1.2536008466026587","-0.1336098367132523","3.497820344898488"
"164","74.98209836965583","67.9083347687434","79.96775976615076","75.23341891242332","67.9083347687434","80.72172139445323","-0.17705592791400956","-0.18342024465428253","-0.16567000520069547","1.216054696934169","0.036296967446366665","3.4776858831951416"
"175","68.81811683580491","64.22205192068168","73.15130940952035","69.30038414030768","64.22205192068168","74.59811132302862","-0.1699344997768338","-0.17919590013072165","-0.15438817186806447","2.1653396120399027","0.22400443967099698","6.004873965708745"
"186","67.8848651772243","62.959067189230986","72.48083571476863","71.38578184798017","62.959067189230986","78.71744263994087","-0.1620410064586623","-0.18536066522801203","-0.1428352068081385","1.918586518408431","0.30005293522629545","5.0971373467128895"
