"Step","Name: ProdTD3HCAC - d4rl_normalized_score","Name: ProdTD3HCAC - d4rl_normalized_score__MIN","Name: ProdTD3HCAC - d4rl_normalized_score__MAX","Name: ProdTD3HCnoLN - d4rl_normalized_score","Name: ProdTD3HCnoLN - d4rl_normalized_score__MIN","Name: ProdTD3HCnoLN - d4rl_normalized_score__MAX","Name: ProdTD3HCBC - d4rl_normalized_score","Name: ProdTD3HCBC - d4rl_normalized_score__MIN","Name: ProdTD3HCBC - d4rl_normalized_score__MAX","Name: ProdTD3HC - d4rl_normalized_score","Name: ProdTD3HC - d4rl_normalized_score__MIN","Name: ProdTD3HC - d4rl_normalized_score__MAX"
"1000","35.501881090516115","34.537757922676974","36.38060875698771","-2.14856753319163","-4.738871804045506","2.702191727019151","34.086298057837716","30.291008824641796","36.38060875698771","0.08134340240214548","-2.2780535897593523","1.780098829373778"
"2000","40.429723385769684","38.25966594328424","42.359329434614814","-2.7889263054567786","-3.445315843774186","-2.4421532911260124","41.93310918381115","40.67017477941","42.76982333740864","0.5825069540415346","-0.32937279432678385","1.115327592072787"
"3000","38.4782984034313","36.49495171132779","40.322011203491904","-1.6898428110567332","-2.572328087282672","-1.0968335988876012","40.47715395182315","38.61793229547422","42.49151835650333","0.8809436723458073","-0.41834733116566086","2.2083820975842623"
"4000","40.51116726379644","37.945373420699","42.112147407774174","-1.612668236947141","-2.261638306148163","-1.0634315631988938","42.22892636864796","41.47598096291614","43.098650735253564","2.2629288372903735","0.7636651518967978","4.248942483626809"
"5000","38.96087267737311","37.44221804567769","40.41227370871831","-1.7734644522137575","-2.0329101983593145","-1.6101314308256638","40.2670535821687","37.44221804567769","42.94666899211009","4.161187701982537","0.8636469085734233","6.03054931331124"
"6000","42.49014496168446","42.33920535527469","42.751802190760365","-1.9772134657248115","-2.4800986100429063","-1.7028008016027243","39.66252507182446","33.856345685694684","42.751802190760365","3.258959133885044","-0.4984386217367554","5.446714023493974"
"7000","41.33087741814424","39.37626145154115","42.72829580240505","-2.2026675993488745","-2.5982898277030855","-1.8993726055007507","41.62113089039872","39.37626145154115","42.75883541724995","6.769161469343786","3.8775085684132105","11.047675728382501"
"8000","40.7409642466203","39.84532605570821","42.33152934055159","-2.531000576288003","-4.259482964484176","-1.020482423174885","39.272296219395436","37.925525258877","40.0460373436011","12.552490498275796","10.547379573040319","14.53565972159471"
"9000","40.64614570772219","36.83774586885883","42.58983221357169","-1.4336759087701985","-1.5439934449433448","-1.3669595936687655","39.290419877328524","36.83774586885883","42.51085904073605","10.8146633611068","4.9186672285885145","16.92504179193239"
"10000","42.55275494919632","42.02850372903522","42.8372780919045","-0.7903390054675169","-1.4094786883744934","-0.13904369629421154","42.49011393505415","42.02850372903522","42.792483026649215","18.29850804345851","1.1596195295489276","28.326412392538813"
"11000","34.39954836731588","27.682124617046604","43.56628478149095","-1.0847244564843441","-1.54070506586241","-0.5135267388673989","2.8662607405992055","1.1983230739849682","3.820059971046161","18.439707699556767","10.495568110207751","25.73717111453371"
