"Step","Name: Prod-EDAC-noLN-walker2d-medium - eval/normalized_score_mean","Name: Prod-EDAC-noLN-walker2d-medium - eval/normalized_score_mean__MIN","Name: Prod-EDAC-noLN-walker2d-medium - eval/normalized_score_mean__MAX","Name: Prod-EDAC-pretrainAC100TD0.5-walker2d-medium - eval/normalized_score_mean","Name: Prod-EDAC-pretrainAC100TD0.5-walker2d-medium - eval/normalized_score_mean__MIN","Name: Prod-EDAC-pretrainAC100TD0.5-walker2d-medium - eval/normalized_score_mean__MAX"
"10","1.228726961875883","-0.0314696941147805","1.9643185144656812","52.53089202189538","38.4940658498197","76.25900216182137"
"21","-0.0270546341899442","-0.3608681392351211","0.14580465850263","63.19856074371951","61.06062686967873","68.18822065303593"
"32","0.66270801711167","-0.3822700116001054","2.7982923031203186","68.3892648433341","61.589319603239936","70.9033793060319"
"43","3.801933304918462","-0.1679925917311466","8.027002666572177","59.94800365490955","50.97486802562045","71.33053423947024"
"54","1.4111641197380516","-0.9202863798614451","6.300974868544195","66.25598751413742","52.67293895838335","78.42400469275063"
"65","0.21392291632733273","-0.5395434893148847","1.5220171867744345","77.29884832942263","73.52304992014467","79.65222523305297"
"76","0.6817217024101502","-0.2742015963895558","2.9081277031792405","68.45967742243971","66.3781047950983","69.32044249979397"
"87","0.2705096951353463","-0.33656958692298505","1.640034933449171","65.15005222668438","48.59692379374998","76.2047316192594"
"98","0.19439151326898105","-0.4198430375514105","0.9544565986327969","75.84650457058838","74.9995634180116","77.776479076905"
"109","0.0390035263877135","-0.44004315599680205","0.60321875739951","67.21711053324267","61.09331403715305","69.53663359109505"
"120","-0.17874252511737404","-0.3724659082338753","0.04893381680994051","67.09753707860874","65.6086555332694","68.19215212989002"
"131","-0.2638551695531549","-0.3481898862390884","-0.1741748472322486","64.85311078864015","55.50898946533548","68.38107885360891"
"142","-0.12044772982754695","-0.17507077380974545","0.016811140340717085","72.82652395070015","67.9397708006883","74.94308028036531"
"153","-0.16807966332286506","-0.18163681862675113","-0.148173945687822","71.8196385150915","70.61938672716603","73.6357028687056"
"164","-0.17090540432686036","-0.18342024465428253","-0.15245383356541287","76.22851371877957","67.9083347687434","79.96775976615076"
"175","-0.16766505607519838","-0.17919590013072165","-0.15438817186806447","69.90141497923378","64.22205192068168","73.15130940952035"
"186","-0.15848255761551622","-0.18536066522801203","-0.1428352068081385","67.96732203983655","62.959067189230986","72.48083571476863"
"197","-0.15256815509944532","-0.16703656573839243","-0.13257328269441201","70.33803937997793","65.09337484271697","78.98696666621883"
"208","-0.1536833614093782","-0.16341035219794134","-0.13240348114367856","72.20583302565984","65.3662102990725","74.7481740326904"
"219","-0.1538249172692506","-0.16058328148485507","-0.13429963565701372","68.91381541407408","64.27981439539624","71.02535171245087"
"230","-0.15518811473794678","-0.1655731194207526","-0.13371092863006867","72.31565050191712","70.02018349363513","75.59993752225746"
"241","-0.15622645013212633","-0.17080347938902604","-0.13420930886760168","70.31167156460059","65.8663991153962","75.71994894199291"
"252","-0.1553633579019462","-0.1898975650982183","-0.12478040490473852","65.35242171351575","57.461822091944256","70.23081000946982"
"263","-0.13418186353932593","-0.14945951593949547","-0.1166272429973686","67.28493139468736","60.73811320992219","70.80083929719528"
"274","0.5290837162166229","-0.15383684203808057","2.5360260720621346","67.40302497949347","61.09406112870116","71.90449140997734"
"285","-0.2628536435564315","-0.625519919736956","-0.12093480686096533","66.38250859255649","61.79443800907647","72.42015522467541"
"296","0.7435625317307173","-0.16434971605558318","3.1426834336572584","65.14331857176457","21.06672083069619","80.45499099486241"
"307","0.16661029583640732","-0.153653704488955","0.7930048643448909","59.46935264984105","27.103403843634528","70.57362329172011"
"318","0.7150832000539495","-0.3346138655727438","3.506056841853873","65.59419519232719","48.63941290792472","76.53594796794079"
"329","2.1146077689644156","-0.3871144218465858","7.104145853338406","71.55655266290024","67.83405316496996","73.76382988361358"
"340","0.6598003011361429","-0.563718806598841","3.53744332882136","68.54160861202905","65.86146603268494","74.33730217915709"
"351","0.2040546963064268","-0.23735736692792303","1.5101339300691947","68.640452868828","59.64815923820466","72.35544048378804"
"362","0.7347474721287026","-0.23088338508301748","2.744288233728073","56.150707163248285","24.077988089940416","68.13066537838132"
"373","0.10429733893222759","-0.1939733531073776","0.3986224069806566","55.75922909586341","46.069207766731154","67.0451449340734"
"384","2.5116773672644044","-0.2914476753801909","10.146538103103518","73.73446754752777","66.61865129478883","77.96554123619815"
"395","4.579181123688198","-0.3475491359291202","18.14171759485821","73.85996628592254","66.34953183743514","79.41034911837065"
"406","-0.3250924552122451","-0.40537716208804414","-0.19476827085946719","69.20714768487115","62.88023664247983","71.58338672073583"
"417","-0.29866249956125956","-0.40541860169165717","-0.19785570942449474","66.52084921215757","57.748018719121816","70.4950696048937"
"428","-0.3071349989940667","-0.426327623703943","-0.18396196398481757","62.520142634698026","52.34080309549644","66.91933485391043"
"439","5.737732918492574","-0.46175098473713555","22.395033925221753","70.40739680703466","66.44616477085951","76.12607568355209"
"450","2.456047803297047","-0.3961791185974425","8.809854104005481","72.09055114772748","65.75520974934342","74.41686756208153"
"461","0.3864927143913035","-0.332485361149201","1.5325736663287217","70.93010339050998","66.71285317808591","73.67313662210712"
"472","0.16605680971683742","-0.3661270607652919","1.4616917432670347","70.49395655377575","62.05752825799796","76.12637330279298"
"483","0.22237606120411146","-0.3588926113548891","1.5962338935691496","70.00324317273133","69.53763110499898","70.20496651766335"
"494","0.504011015739071","-0.3375379300035702","2.784234115519401","68.8995263022264","65.9323550732237","71.08478549387073"
"505","0.22190223274801726","-0.3523928623236344","1.6920204037200883","69.29304593191196","65.43566031465917","73.94885365043903"
"516","1.6426022537565013","-0.34617854018487054","7.520427723497443","65.35495283024632","59.125754754310854","74.57391615461589"
