"Step","Name: Prod-TD3-BC-TD1-halfcheetah-medium - d4rl_normalized_score","Name: Prod-TD3-BC-TD1-halfcheetah-medium - d4rl_normalized_score__MIN","Name: Prod-TD3-BC-TD1-halfcheetah-medium - d4rl_normalized_score__MAX","Name: Prod-TD3-BC-TD0.9-halfcheetah-medium - d4rl_normalized_score","Name: Prod-TD3-BC-TD0.9-halfcheetah-medium - d4rl_normalized_score__MIN","Name: Prod-TD3-BC-TD0.9-halfcheetah-medium - d4rl_normalized_score__MAX","Name: Prod-TD3-BC-TD0.5-halfcheetah-medium - d4rl_normalized_score","Name: Prod-TD3-BC-TD0.5-halfcheetah-medium - d4rl_normalized_score__MIN","Name: Prod-TD3-BC-TD0.5-halfcheetah-medium - d4rl_normalized_score__MAX","Name: Prod-TD3-BC-TD0-halfcheetah-medium - d4rl_normalized_score","Name: Prod-TD3-BC-TD0-halfcheetah-medium - d4rl_normalized_score__MIN","Name: Prod-TD3-BC-TD0-halfcheetah-medium - d4rl_normalized_score__MAX","Name: ProdTD3HCAC - d4rl_normalized_score","Name: ProdTD3HCAC - d4rl_normalized_score__MIN","Name: ProdTD3HCAC - d4rl_normalized_score__MAX","Name: ProdTD3HC - d4rl_normalized_score","Name: ProdTD3HC - d4rl_normalized_score__MIN","Name: ProdTD3HC - d4rl_normalized_score__MAX"
"1000","35.501881090516115","34.537757922676974","36.38060875698771","35.501881090516115","34.537757922676974","36.38060875698771","35.501881090516115","34.537757922676974","36.38060875698771","35.501881090516115","34.537757922676974","36.38060875698771","35.501881090516115","34.537757922676974","36.38060875698771","0.08134340240214548","-2.2780535897593523","1.780098829373778"
"2000","40.429723385769684","38.25966594328424","42.359329434614814","40.429723385769684","38.25966594328424","42.359329434614814","40.429723385769684","38.25966594328424","42.359329434614814","40.429723385769684","38.25966594328424","42.359329434614814","40.429723385769684","38.25966594328424","42.359329434614814","0.5825069540415346","-0.32937279432678385","1.115327592072787"
"3000","38.4782984034313","36.49495171132779","40.322011203491904","38.4782984034313","36.49495171132779","40.322011203491904","38.4782984034313","36.49495171132779","40.322011203491904","38.4782984034313","36.49495171132779","40.322011203491904","38.4782984034313","36.49495171132779","40.322011203491904","0.8809436723458073","-0.41834733116566086","2.2083820975842623"
"4000","40.51116726379644","37.945373420699","42.112147407774174","40.51116726379644","37.945373420699","42.112147407774174","40.51116726379644","37.945373420699","42.112147407774174","40.51116726379644","37.945373420699","42.112147407774174","40.51116726379644","37.945373420699","42.112147407774174","2.2629288372903735","0.7636651518967978","4.248942483626809"
"5000","38.96087267737312","37.44221804567769","40.41227370871831","38.96087267737312","37.44221804567769","40.41227370871831","38.96087267737312","37.44221804567769","40.41227370871831","38.96087267737312","37.44221804567769","40.41227370871831","38.96087267737311","37.44221804567769","40.41227370871831","4.161187701982537","0.8636469085734233","6.03054931331124"
"6000","42.49014496168446","42.33920535527469","42.751802190760365","42.49014496168446","42.33920535527469","42.751802190760365","42.49014496168446","42.33920535527469","42.751802190760365","42.49014496168446","42.33920535527469","42.751802190760365","42.49014496168446","42.33920535527469","42.751802190760365","3.258959133885044","-0.4984386217367554","5.446714023493974"
"7000","41.33087741814424","39.37626145154115","42.72829580240505","41.33087741814424","39.37626145154115","42.72829580240505","41.33087741814424","39.37626145154115","42.72829580240505","41.33087741814424","39.37626145154115","42.72829580240505","41.33087741814424","39.37626145154115","42.72829580240505","6.769161469343786","3.8775085684132105","11.047675728382501"
"8000","40.7409642466203","39.84532605570821","42.33152934055159","40.7409642466203","39.84532605570821","42.33152934055159","40.7409642466203","39.84532605570821","42.33152934055159","40.7409642466203","39.84532605570821","42.33152934055159","40.7409642466203","39.84532605570821","42.33152934055159","12.552490498275796","10.547379573040319","14.53565972159471"
"9000","40.64614570772219","36.83774586885883","42.58983221357169","40.64614570772219","36.83774586885883","42.58983221357169","40.64614570772219","36.83774586885883","42.58983221357169","40.64614570772219","36.83774586885883","42.58983221357169","40.64614570772219","36.83774586885883","42.58983221357169","10.8146633611068","4.9186672285885145","16.92504179193239"
"10000","42.55275494919631","42.02850372903522","42.8372780919045","42.55275494919631","42.02850372903522","42.8372780919045","42.55275494919631","42.02850372903522","42.8372780919045","42.55275494919631","42.02850372903522","42.8372780919045","42.55275494919632","42.02850372903522","42.8372780919045","18.29850804345851","1.1596195295489276","28.326412392538813"
"11000","31.258418783929233","22.649681375566164","43.48029363177182","31.12787549805506","27.574923268208323","37.964253475057376","38.01353262306433","33.647422203075074","43.99064630893052","42.600874757712404","42.438710964277185","42.77835247161166","34.39954836731588","27.682124617046604","43.56628478149095","18.439707699556767","10.495568110207751","25.73717111453371"
"12000","33.18048466465372","22.256876022414108","40.531522641215425","31.58042606368038","28.449155317408238","35.746175746563196","36.17260848601962","31.415056091008413","41.5741446650638","42.5636005091629","42.25722560401174","42.744166830277","34.467849155348794","30.78462217584148","37.11544832716023","25.800381831295834","16.600694996847558","38.6517138959249"
"13000","39.77583645994304","36.12810654459313","44.61832104941617","37.50504775100952","35.630474811739205","40.14856775783484","41.13819433612517","36.312348081848874","45.146411769464926","42.063487365442676","41.85649656652021","42.30726389004421","42.336687553483046","36.284099846340624","46.0402257153467","27.561434115838313","21.345991610868648","34.51723809775786"
"14000","43.08315769504683","40.119912436315744","44.56980544229142","41.91261620519557","35.47870972473201","45.85067788123086","43.22154341419496","39.828253076337525","45.69647819216666","39.366452968583985","33.611896193303565","42.653338638764886","43.39083202548872","39.97780773161211","45.99286477919424","35.333005788661076","32.618259829830784","38.99481824527156"
"15000","44.886374882116485","44.80788585330212","44.94467060468944","44.92085110552364","44.42627758708448","45.274273097995774","45.03807744155881","44.32197420707259","45.79917339051863","42.72582309519991","42.39622106466082","43.02200055765183","44.542118235696734","44.038508408533296","45.00386204516318","37.86145985604603","35.02893954366449","42.21949616769183"
"16000","44.94053579022104","43.895627995312694","45.76782876634653","44.998198222307224","44.31625451318435","45.499328243365674","45.54815124049381","45.137432900086885","46.29536272876325","41.3759790434701","39.479967509336774","42.7262961973632","43.96232603915697","41.46241767108968","45.56960202810493","40.50577683521024","39.639815830560096","41.202593589375056"
"17000","42.93170382586525","38.31559485831976","45.43496471192652","44.889124544630214","44.53765892988119","45.4475224418766","45.28410476719453","45.0811428129406","45.5196474533991","40.70006552664325","39.40367786742113","42.45696858189867","43.32476481244576","40.001052906941226","45.12193916668044","39.45506915488107","35.72938819946366","43.857773273798614"
"18000","45.40315564485391","44.57774995703762","46.333077843774504","45.544549086515666","44.55005217223653","46.047900042702686","45.13133084501052","44.21378592690735","46.44759481665341","40.39268096617415","37.55398660530264","42.87601857007443","45.39296959179044","44.579265416266765","46.42205853307203","37.28919678363541","32.231067246596474","40.39343951258373"
"19000","45.27211745284768","45.10427414644171","45.44707110020612","45.318009156345845","45.20872745514668","45.47449151487999","45.55420724906809","45.457347759441305","45.72037763061789","40.00236131981864","37.92006903900859","41.55651901694606","44.7761085557533","43.759461256783","45.29048872343207","42.18193869452958","37.613487348953996","45.674597747775294"
"20000","45.381446874592065","44.95329561562996","45.86053588150049","45.21900024237067","44.949073996488394","45.551507212434174","45.367563247750915","45.25469671741296","45.58021533235778","37.941758757400876","28.956956786709625","42.731543929544046","45.333272619824164","45.249933407820556","45.400336012979814","44.05459470392651","40.52442050225099","46.06620675999815"
"21000","45.229903090428955","44.375014891766824","45.799301856525574","45.38577700688919","44.55285028024228","46.206709680238575","45.213271286178355","44.25199462883646","45.75180271504827","39.899028227594926","38.59864259968381","42.38234933416741","43.901701257690775","41.49666299245374","45.62701149559519","43.17977476241027","41.151129248000814","45.38889352097406"
"22000","45.13220758917956","44.98055473789288","45.245461273520526","45.070449596513704","44.86063944454788","45.25067244232232","45.288436228107294","45.07104671072577","45.43602969668549","40.503194671379084","37.83482538161121","41.97485594014289","45.197963382884154","44.61084348820773","45.6012089091678","43.92255527371091","43.2329736553899","45.266892830424624"
"23000","45.11695482358409","44.8536193939323","45.24996313551952","45.328504804895864","45.11218582171942","45.63930734947762","45.414326632292784","44.88044883187303","45.749516109198915","40.59677919571274","40.04170544752968","41.02055715028374","45.18521874236899","44.80545549493725","45.40820872488517","41.783987303939455","40.68515359676659","42.998018496177956"
"24000","45.39908553305014","44.964277495998275","45.66969638441226","45.218555515393184","45.06721718086277","45.402746982147235","45.37933550222053","45.08936584306768","45.57943224017054","40.237097116037646","37.46108516165229","42.25041304858046","45.51280536643693","45.315905489258306","45.728649309856415","44.055001615345894","41.474480416797356","46.34687582804624"
"25000","45.2670980814792","44.69874884871857","45.70809406407404","45.33144778024977","44.98163587165141","45.688043146992044","45.48963535345799","45.3976005527788","45.600656874044184","37.11320602804075","29.20717355975872","42.16256997628126","45.37792455790708","45.124419382518944","45.62051980983648","44.56410537950396","42.9943706579721","45.378380451191866"
"26000","45.35805983406896","45.15221393667453","45.65691082185906","45.553066886338705","45.047075260263966","45.89017360267252","45.3975839447306","45.233911580527725","45.65103668556176","37.634060075600836","36.71250502739452","39.03294442822899","45.30257757808804","44.64640359898543","45.74081662294077","45.35164477694567","45.0439504406795","45.73441784093551"
"27000","45.468919644627725","44.92915236699744","45.74987870866998","45.62034543577855","44.94611284431848","46.01338926769175","45.47909845883731","44.931714866718636","45.76686057448559","41.44783753119304","40.90360125145646","41.95050154108888","45.44511042140558","45.04863882676885","46.03491049682156","43.83210691876013","41.4004497026144","45.70270902534265"
"28000","45.54417270498535","45.224314707290034","45.77229324414888","45.32722203493239","44.92720752492714","45.55361095807523","45.72147736713004","45.43722512844659","45.870272362845526","38.545500830798545","33.8664980268024","41.06967713196877","45.452648162773436","45.16489100242809","45.962542024362975","45.393387573158066","44.81957202180027","46.18456024504661"
"29000","45.72069470601634","45.20689529571603","46.15031436336751","45.62414874532544","45.446827112890404","45.72021097345089","45.48487989469004","45.22672408292924","45.71130201404676","40.958001023267165","40.485084095161824","41.736975435129985","45.49275866916406","45.16804167572107","45.98268981240139","45.63044144978554","44.983562016726","46.14393137867863"
"30000","45.51119447660577","45.34247287920529","45.814574266111116","45.282308726946574","45.05144749150276","45.50717670257109","45.54724973395482","45.00858911919151","45.86773245079878","38.709673076153685","37.40517430507433","40.7283792999453","45.39487066103374","45.11409551221442","45.72197883851319","45.368593299896396","45.15725979924864","45.650125717420984"
