"Step","Prod-TD3-BC-alpha5-noLN-walker2d-medium-v2-634b08d9 - d4rl_normalized_score","Prod-TD3-BC-alpha5-noLN-walker2d-medium-v2-634b08d9 - d4rl_normalized_score__MIN","Prod-TD3-BC-alpha5-noLN-walker2d-medium-v2-634b08d9 - d4rl_normalized_score__MAX","Prod-TD3-BC-alpha5-walker2d-medium-v2-8c373562 - d4rl_normalized_score","Prod-TD3-BC-alpha5-walker2d-medium-v2-8c373562 - d4rl_normalized_score__MIN","Prod-TD3-BC-alpha5-walker2d-medium-v2-8c373562 - d4rl_normalized_score__MAX","Prod-TD3-BC-pretrainBC10k-alpha5-walker2d-medium-v2-114d8a5a - d4rl_normalized_score","Prod-TD3-BC-pretrainBC10k-alpha5-walker2d-medium-v2-114d8a5a - d4rl_normalized_score__MIN","Prod-TD3-BC-pretrainBC10k-alpha5-walker2d-medium-v2-114d8a5a - d4rl_normalized_score__MAX","Prod-TD3-BC-pretrainAC10k-alpha5--walker2d-medium-v2-2f4a305d - d4rl_normalized_score","Prod-TD3-BC-pretrainAC10k-alpha5--walker2d-medium-v2-2f4a305d - d4rl_normalized_score__MIN","Prod-TD3-BC-pretrainAC10k-alpha5--walker2d-medium-v2-2f4a305d - d4rl_normalized_score__MAX"
"11000","12.391794913773596","12.391794913773596","12.391794913773596","56.90281441569894","56.90281441569894","56.90281441569894","55.79928248782628","55.79928248782628","55.79928248782628","55.79928248782628","55.79928248782628","55.79928248782628"
"12000","40.115073592632115","40.115073592632115","40.115073592632115","69.01314154381049","69.01314154381049","69.01314154381049","69.32548744861695","69.32548744861695","69.32548744861695","69.32548744861695","69.32548744861695","69.32548744861695"
"13000","76.2667251213269","76.2667251213269","76.2667251213269","38.448483134897124","38.448483134897124","38.448483134897124","66.59914345777295","66.59914345777295","66.59914345777295","66.59914345777295","66.59914345777295","66.59914345777295"
"14000","56.12420119230097","56.12420119230097","56.12420119230097","32.10223631726406","32.10223631726406","32.10223631726406","64.18398570542811","64.18398570542811","64.18398570542811","64.18398570542811","64.18398570542811","64.18398570542811"
"15000","65.65427346971919","65.65427346971919","65.65427346971919","54.33910217354916","54.33910217354916","54.33910217354916","71.17697375306052","71.17697375306052","71.17697375306052","71.17697375306052","71.17697375306052","71.17697375306052"
"16000","78.15110402781794","78.15110402781794","78.15110402781794","61.89888193808477","61.89888193808477","61.89888193808477","72.58948781323149","72.58948781323149","72.58948781323149","72.58948781323149","72.58948781323149","72.58948781323149"
"17000","62.04551595463398","62.04551595463398","62.04551595463398","4.844349336703666","4.844349336703666","4.844349336703666","66.00147473209809","66.00147473209809","66.00147473209809","66.00147473209809","66.00147473209809","66.00147473209809"
"18000","63.21779216224376","63.21779216224376","63.21779216224376","4.163255126053622","4.163255126053622","4.163255126053622","66.95157108023712","66.95157108023712","66.95157108023712","66.95157108023712","66.95157108023712","66.95157108023712"
"19000","70.52538813302934","70.52538813302934","70.52538813302934","7.861852426917383","7.861852426917383","7.861852426917383","70.53100126393981","70.53100126393981","70.53100126393981","70.53100126393981","70.53100126393981","70.53100126393981"
"20000","44.61731899683812","44.61731899683812","44.61731899683812","4.748598865011615","4.748598865011615","4.748598865011615","70.96016384325145","70.96016384325145","70.96016384325145","70.96016384325145","70.96016384325145","70.96016384325145"
"21000","20.098032976876382","20.098032976876382","20.098032976876382","28.10657902452372","28.10657902452372","28.10657902452372","47.351128388105394","47.351128388105394","47.351128388105394","86.20846247245531","86.20846247245531","86.20846247245531"
"22000","27.607007756865137","27.607007756865137","27.607007756865137","4.990142229800068","4.990142229800068","4.990142229800068","17.855562750247714","17.855562750247714","17.855562750247714","72.14401488904518","72.14401488904518","72.14401488904518"
"23000","27.188060918206453","27.188060918206453","27.188060918206453","73.3919498700515","73.3919498700515","73.3919498700515","37.267713511421995","37.267713511421995","37.267713511421995","84.9128353340666","84.9128353340666","84.9128353340666"
"24000","5.654020861203263","5.654020861203263","5.654020861203263","24.75973298496218","24.75973298496218","24.75973298496218","28.98012127564829","28.98012127564829","28.98012127564829","83.30014783144088","83.30014783144088","83.30014783144088"
"25000","-0.11491720716285322","-0.11491720716285322","-0.11491720716285322","10.652339231567161","10.652339231567161","10.652339231567161","65.51304945221491","65.51304945221491","65.51304945221491","84.69604902020924","84.69604902020924","84.69604902020924"
"26000","-0.11008709249781781","-0.11008709249781781","-0.11008709249781781","5.673931053268821","5.673931053268821","5.673931053268821","65.29415753084602","65.29415753084602","65.29415753084602","82.98649102991826","82.98649102991826","82.98649102991826"
"27000","-0.11266281179303297","-0.11266281179303297","-0.11266281179303297","66.0381711953564","66.0381711953564","66.0381711953564","71.35856455678334","71.35856455678334","71.35856455678334","81.15458984288234","81.15458984288234","81.15458984288234"
"28000","-0.13760054371907185","-0.13760054371907185","-0.13760054371907185","9.23977338916388","9.23977338916388","9.23977338916388","52.749873459330544","52.749873459330544","52.749873459330544","80.41786601247316","80.41786601247316","80.41786601247316"
"29000","2.859449564161124","2.859449564161124","2.859449564161124","43.27274025901814","43.27274025901814","43.27274025901814","52.77243523794155","52.77243523794155","52.77243523794155","76.26071666728893","76.26071666728893","76.26071666728893"
"30000","1.6152189987159373","1.6152189987159373","1.6152189987159373","27.14488414595948","27.14488414595948","27.14488414595948","66.31116468458364","66.31116468458364","66.31116468458364","84.9744353530435","84.9744353530435","84.9744353530435"
"31000","2.570509486927536","2.570509486927536","2.570509486927536","60.31944255974664","60.31944255974664","60.31944255974664","54.06246322219891","54.06246322219891","54.06246322219891","84.32325439215606","84.32325439215606","84.32325439215606"
"32000","3.0140380970106713","3.0140380970106713","3.0140380970106713","61.43508572686829","61.43508572686829","61.43508572686829","67.2344753706589","67.2344753706589","67.2344753706589","81.97963181582199","81.97963181582199","81.97963181582199"
"33000","3.8161825543407293","3.8161825543407293","3.8161825543407293","74.93256458571875","74.93256458571875","74.93256458571875","75.97526175989606","75.97526175989606","75.97526175989606","81.87965189946888","81.87965189946888","81.87965189946888"
"34000","3.195065867385982","3.195065867385982","3.195065867385982","78.51462948205148","78.51462948205148","78.51462948205148","54.1414461280862","54.1414461280862","54.1414461280862","82.75534764693997","82.75534764693997","82.75534764693997"
"35000","1.3296381149069285","1.3296381149069285","1.3296381149069285","68.80048154273167","68.80048154273167","68.80048154273167","47.068932517047195","47.068932517047195","47.068932517047195","81.94859285195332","81.94859285195332","81.94859285195332"
"36000","0.9549558819113048","0.9549558819113048","0.9549558819113048","61.70535839279396","61.70535839279396","61.70535839279396","27.017117286379786","27.017117286379786","27.017117286379786","79.74131054346608","79.74131054346608","79.74131054346608"
"37000","0.9295453426780099","0.9295453426780099","0.9295453426780099","76.60022995982699","76.60022995982699","76.60022995982699","72.35946779138163","72.35946779138163","72.35946779138163","79.36352379591","79.36352379591","79.36352379591"
"38000","0.8103397994820398","0.8103397994820398","0.8103397994820398","56.203939205728204","56.203939205728204","56.203939205728204","47.14163558767807","47.14163558767807","47.14163558767807","80.7700709766356","80.7700709766356","80.7700709766356"
"39000","0.6282319987876285","0.6282319987876285","0.6282319987876285","71.26454510077468","71.26454510077468","71.26454510077468","11.524420486903681","11.524420486903681","11.524420486903681","85.39925429900562","85.39925429900562","85.39925429900562"
"40000","0.6942557262914048","0.6942557262914048","0.6942557262914048","54.96449977119878","54.96449977119878","54.96449977119878","47.94289676482809","47.94289676482809","47.94289676482809","67.91507083433842","67.91507083433842","67.91507083433842"
"41000","2.333349737875239","2.333349737875239","2.333349737875239","71.11308564035653","71.11308564035653","71.11308564035653","70.49938256742516","70.49938256742516","70.49938256742516","67.20284335853236","67.20284335853236","67.20284335853236"
"42000","0.6244796161108573","0.6244796161108573","0.6244796161108573","81.17018934421931","81.17018934421931","81.17018934421931","69.27915847314267","69.27915847314267","69.27915847314267","82.98135114334555","82.98135114334555","82.98135114334555"
"43000","0.6205163819552608","0.6205163819552608","0.6205163819552608","72.86986492478829","72.86986492478829","72.86986492478829","74.82791745583144","74.82791745583144","74.82791745583144","78.34438630779317","78.34438630779317","78.34438630779317"
"44000","0.29808947399565094","0.29808947399565094","0.29808947399565094","21.903410510903374","21.903410510903374","21.903410510903374","68.93887323151546","68.93887323151546","68.93887323151546","83.77209879287021","83.77209879287021","83.77209879287021"
"45000","0.41002816802254993","0.41002816802254993","0.41002816802254993","68.80520336067725","68.80520336067725","68.80520336067725","70.90536810830712","70.90536810830712","70.90536810830712","80.94888196141301","80.94888196141301","80.94888196141301"
"46000","0.2547142095722824","0.2547142095722824","0.2547142095722824","76.02786780369925","76.02786780369925","76.02786780369925","69.71501357804568","69.71501357804568","69.71501357804568","79.90565834200468","79.90565834200468","79.90565834200468"
"47000","5.339351556248166","5.339351556248166","5.339351556248166","76.35542170207098","76.35542170207098","76.35542170207098","67.46497194153636","67.46497194153636","67.46497194153636","82.26024824174273","82.26024824174273","82.26024824174273"
"48000","0.36294838881546865","0.36294838881546865","0.36294838881546865","66.71180519263758","66.71180519263758","66.71180519263758","72.27118429078266","72.27118429078266","72.27118429078266","74.97896461083108","74.97896461083108","74.97896461083108"
"49000","4.117337846150424","4.117337846150424","4.117337846150424","85.32608922912127","85.32608922912127","85.32608922912127","74.08787112233765","74.08787112233765","74.08787112233765","82.38621322048299","82.38621322048299","82.38621322048299"
"50000","13.701597227817516","13.701597227817516","13.701597227817516","77.06897141988657","77.06897141988657","77.06897141988657","82.63979203275069","82.63979203275069","82.63979203275069","83.37474340086595","83.37474340086595","83.37474340086595"
"51000","12.37658866443561","12.37658866443561","12.37658866443561","70.71826211855429","70.71826211855429","70.71826211855429","61.213239373495966","61.213239373495966","61.213239373495966","79.34595587080304","79.34595587080304","79.34595587080304"
"52000","9.90729212785997","9.90729212785997","9.90729212785997","82.12522029668307","82.12522029668307","82.12522029668307","59.34762133294406","59.34762133294406","59.34762133294406","82.7891972254499","82.7891972254499","82.7891972254499"
"53000","67.97767324436839","67.97767324436839","67.97767324436839","73.47263907861533","73.47263907861533","73.47263907861533","62.73247286891917","62.73247286891917","62.73247286891917","86.51978406997351","86.51978406997351","86.51978406997351"
"54000","62.24558219401622","62.24558219401622","62.24558219401622","65.57560096273241","65.57560096273241","65.57560096273241","70.9656641194431","70.9656641194431","70.9656641194431","82.95369767233989","82.95369767233989","82.95369767233989"
"55000","16.931682348910115","16.931682348910115","16.931682348910115","77.7835752168341","77.7835752168341","77.7835752168341","72.92069640126388","72.92069640126388","72.92069640126388","82.37202555815874","82.37202555815874","82.37202555815874"
"56000","69.1650985638196","69.1650985638196","69.1650985638196","84.97692359577783","84.97692359577783","84.97692359577783","80.61758089603023","80.61758089603023","80.61758089603023","84.20779631735756","84.20779631735756","84.20779631735756"
"57000","52.43543072888779","52.43543072888779","52.43543072888779","70.41012976585615","70.41012976585615","70.41012976585615","80.92701143189527","80.92701143189527","80.92701143189527","81.03178736394537","81.03178736394537","81.03178736394537"
"58000","46.49717930374827","46.49717930374827","46.49717930374827","70.88903290318837","70.88903290318837","70.88903290318837","60.078684314057206","60.078684314057206","60.078684314057206","84.5809200820944","84.5809200820944","84.5809200820944"
"59000","51.54788546643405","51.54788546643405","51.54788546643405","70.33359077403209","70.33359077403209","70.33359077403209","75.40580667922275","75.40580667922275","75.40580667922275","82.74142794962624","82.74142794962624","82.74142794962624"
"60000","59.10435878572644","59.10435878572644","59.10435878572644","84.76223505096875","84.76223505096875","84.76223505096875","81.75893320768212","81.75893320768212","81.75893320768212","80.31062107143426","80.31062107143426","80.31062107143426"
