"Step","Name: Prod-EDAC-pretrainAC20-hopper-medium - eval/normalized_score_mean","Name: Prod-EDAC-pretrainAC20-hopper-medium - eval/normalized_score_mean__MIN","Name: Prod-EDAC-pretrainAC20-hopper-medium - eval/normalized_score_mean__MAX","Name: Prod-EDAC-pretrainBC20-hopper-medium - eval/normalized_score_mean","Name: Prod-EDAC-pretrainBC20-hopper-medium - eval/normalized_score_mean__MIN","Name: Prod-EDAC-pretrainBC20-hopper-medium - eval/normalized_score_mean__MAX","Name: Prod-EDAC-noLN-hopper-medium - eval/normalized_score_mean","Name: Prod-EDAC-noLN-hopper-medium - eval/normalized_score_mean__MIN","Name: Prod-EDAC-noLN-hopper-medium - eval/normalized_score_mean__MAX","Name: Prod-EDAC-hopper-medium - eval/normalized_score_mean","Name: Prod-EDAC-hopper-medium - eval/normalized_score_mean__MIN","Name: Prod-EDAC-hopper-medium - eval/normalized_score_mean__MAX"
"10","26.884294985027655","25.746352393615034","27.934337092780993","29.069003293389525","26.97219546868694","32.191136980931375","4.129083538393975","1.2560942417584038","9.72823953346025","1.7414585567037257","1.5152866141352717","2.1324521068740205"
"21","31.61508192362395","27.235686797343533","37.69204327409168","36.99076491501611","34.38556618119438","38.89468528976226","7.894630142271822","7.82920939181083","7.947182457065554","6.351502597368298","1.649380306356536","9.11768931605234"
"32","41.34098159828897","38.76299780171077","46.059095725305085","36.139335430518564","28.004021875258992","41.213133148445635","5.528256502677124","2.61487321246014","6.989329566800526","8.053937388565666","2.8704256918545097","11.122251858856991"
"43","48.05924652989779","35.82985317054705","54.71782354050824","51.67663644534591","48.66391639264702","53.63006287863808","2.0418113638785473","1.9204068303792983","2.226172557104106","11.430860115078483","10.907592791735173","11.708879603530377"
"54","40.47951566447592","29.901890002450575","50.44475671921505","45.406944480125325","29.901890002450575","54.55720099948523","2.75050312726756","2.272154730203683","3.449243769388319","10.818039611165593","4.126546943273967","14.219781135538359"
"65","50.915266547495044","39.490942230338234","57.413453195358805","48.91510508792802","39.490942230338234","63.04294364082456","2.2314314339111747","2.08161875128704","2.5069136723667915","15.622630531330634","4.359664597616023","21.522353226845393"
"76","48.46046073672499","46.06463305879805","51.62270950848315","52.38470994832054","46.06463305879805","56.20350916206506","9.306497517858448","2.31741839575336","15.217100200997393","23.377008784329078","21.25271367602696","27.00570594507723"
"87","46.627753540014886","43.17880560601903","48.592991674317396","47.74271361055941","43.01225650434475","52.10442098762528","9.331197898434954","5.71710484302538","12.759957702427869","23.063261453199544","21.973970801854442","24.68414619195245"
"98","53.867966104349","52.935313046312714","54.996347602694264","57.22180723966443","54.996347602694264","59.35840724550049","31.71145934734106","6.119225394387639","66.97376075097648","18.716525441836378","7.547733283933918","28.62883928799343"
"109","55.25220466395703","54.308076232472935","55.772239736695894","55.70013040066534","52.568574428828526","58.759577036471605","19.00434726238979","2.625505343611787","33.72925148997513","11.939513448646963","2.279788575333381","18.218634375511886"
"120","55.25220466395703","54.308076232472935","55.772239736695894","50.93626071186784","48.77562825889172","54.25638286644461","18.786694223560158","2.6005974935148273","30.865062210136948","29.25726500754638","21.90190483066426","35.96130054529271"
"131","55.25220466395703","54.308076232472935","55.772239736695894","50.02341328343051","45.17249354000183","52.71743988554847","14.895177676688128","2.4040573373770897","23.328349177795666","24.471381360153497","18.96805820965814","31.75486293648877"
"142","55.25220466395703","54.308076232472935","55.772239736695894","46.83695385350537","36.015327112465314","54.865472895473395","17.856290226910527","15.075515204121729","19.625785499071114","23.010597949166755","20.6200274208632","26.013074366755188"
"153","55.25220466395703","54.308076232472935","55.772239736695894","46.00058882968272","29.15874773151478","60.20066865622981","22.089536543403188","20.965548681215346","24.0540942871666","29.062560273676116","21.644665870162978","34.58315047645085"
"164","55.25220466395703","54.308076232472935","55.772239736695894","50.22544036570412","41.219993209347294","57.14145792861295","22.284694894481703","20.173186550256496","24.50065750273556","22.214410876384715","19.13803928791757","25.526510732635305"
"175","55.25220466395703","54.308076232472935","55.772239736695894","58.45461392147285","56.65676502077607","61.46036532774908","19.270875278658476","9.963161863283025","29.19536702421384","27.22245911271887","20.872807953424516","34.67394520798131"
"186","55.25220466395703","54.308076232472935","55.772239736695894","56.54317620171968","53.37821316011923","60.64699558680087","24.5709719432694","23.702684302071724","26.222487210508643","24.52541256078776","23.114611766433832","26.14478325796062"
"197","55.25220466395703","54.308076232472935","55.772239736695894","48.855578442792385","42.7677277219657","53.72135771772654","20.29550536770959","2.820567218755918","34.06998546808217","27.298122021215875","21.935149915885162","37.74084273925481"
"208","55.25220466395703","54.308076232472935","55.772239736695894","56.70075072905964","55.018265575648584","58.73271733823556","16.636183088856697","5.067459081664554","22.82542506656321","27.86763566972415","25.76741556845851","31.058982565445383"
"219","55.25220466395703","54.308076232472935","55.772239736695894","57.62304617441182","53.80675631968904","60.94566753092961","28.310642997708545","25.5963361527084","30.026468557151617","27.04779498383915","23.500675140431213","32.31813770246443"
"230","55.25220466395703","54.308076232472935","55.772239736695894","37.518882571304125","27.95032264510133","51.51307883177367","13.78412601380568","2.7280556432428553","23.37586776847794","38.55458808001949","37.29059897349957","39.353097036052205"
"241","45.06250373373819","15.720314339762277","101.41647602981327","31.620194130017385","30.390642702723106","33.92716169702022","13.512940791068859","2.851861272888356","23.83436451098061","52.96238716177817","40.06273092002778","70.32788522172942"
"252","71.90961359886096","17.17476520569","101.83387663573207","32.89049271882704","31.205353220331624","33.978351726552496","13.998055440881984","2.719785249671747","23.831604263206902","47.063549088533186","45.81536235515426","48.49665574004458"
"263","70.16629594281736","42.311498039682235","101.35303735024311","34.52262487905996","32.08423180085855","38.9128766237868","24.204783798170507","21.446766456911416","26.738284264444985","59.66185980129592","48.10452360545971","78.96436937477266"
"274","81.6899693812587","43.91891133826899","101.45294636641901","34.394203648321785","33.80823890942035","34.69681563011373","22.370445327827355","2.640666274513267","33.35994710157761","48.454587744567824","34.23545207817851","76.81487021245127"
"285","95.14423020181577","84.2351776523265","101.59653659093593","37.92844514656585","33.51658195077254","40.766894790202784","21.900622737416587","3.001782554439756","32.52360637630939","96.5831207680626","92.76594915913452","101.75602201578728"
"296","98.71037050690875","97.60916358371463","99.88015379424677","33.99136980028986","32.192250323892964","35.78491616994819","16.968257894964424","3.039564576971801","24.16751470638495","77.94533788780986","48.36547708157023","99.85296189044232"
"307","98.5866021738161","97.24812619638305","100.46897949154148","34.97837290560489","32.99480554249325","36.30289522126624","19.124415650483584","2.438516729749357","35.42326381658872","78.23460048138914","33.6400718495725","101.31722254260862"
"318","97.33874280958923","94.15964407050906","100.0883071904938","35.22464541393992","32.52981559567741","37.433601580857214","19.331818905323342","2.507758931894269","33.061574792992865","68.60475099188825","43.06631752148486","102.35617029819977"
"329","98.1551910060074","96.19281196153358","100.03779515498137","32.254882169290134","31.11965975770562","34.24930814260078","38.24930254144293","33.838987436079194","43.14898604084241","37.38796249122908","35.23829238219675","41.4865600419046"
