"Step","Name: Prod-TD3-BC-noLN-walker2d-medium - d4rl_normalized_score","Name: Prod-TD3-BC-noLN-walker2d-medium - d4rl_normalized_score__MIN","Name: Prod-TD3-BC-noLN-walker2d-medium - d4rl_normalized_score__MAX","Name: Prod-TD3-BC-pretrainAC20k-walker2d-medium - d4rl_normalized_score","Name: Prod-TD3-BC-pretrainAC20k-walker2d-medium - d4rl_normalized_score__MIN","Name: Prod-TD3-BC-pretrainAC20k-walker2d-medium - d4rl_normalized_score__MAX","Name: Prod-TD3-BC-pretrainBC20k-walker2d-medium - d4rl_normalized_score","Name: Prod-TD3-BC-pretrainBC20k-walker2d-medium - d4rl_normalized_score__MIN","Name: Prod-TD3-BC-pretrainBC20k-walker2d-medium - d4rl_normalized_score__MAX","Name: Prod-TD3-BC-walker2d-medium - d4rl_normalized_score","Name: Prod-TD3-BC-walker2d-medium - d4rl_normalized_score__MIN","Name: Prod-TD3-BC-walker2d-medium - d4rl_normalized_score__MAX"
"1000","-0.36558914619596905","-0.5431783828180515","-0.23679438897107633","74.25184898183625","70.666710712939","76.07108044857172","74.25184898183625","70.666710712939","76.07108044857172","4.601993468040571","-0.6971615896472094","14.914007955289183"
"2000","10.681539969391219","-0.44504282749768714","32.84875373237595","54.70134379961748","42.43723035991226","79.16041377948913","54.70134379961748","42.43723035991226","79.16041377948913","11.050607560579172","-0.030973393478320215","16.86173532369305"
"3000","14.846179264663512","-0.7661762284893195","23.965511507888323","67.38327415314707","62.09814766319157","73.33112226850822","67.38327415314707","62.09814766319157","73.33112226850822","35.311837539956635","18.642107915330403","58.58930105447472"
"4000","43.67875259692449","4.396618382153569","72.28029982324426","74.83175029490029","70.61474614565458","79.0669451309839","74.83175029490029","70.61474614565458","79.0669451309839","38.811258958362124","34.99873491086658","44.093788056185815"
"5000","66.66720193805834","59.5556821558622","72.45095876111908","72.20943900577139","69.39530120705841","75.34759066472746","72.20943900577139","69.39530120705841","75.34759066472746","47.935662727649344","36.857241514448965","60.02571960477111"
"6000","44.3180147977556","35.212921008411996","58.68589561550611","54.43694305087189","26.372689816658934","72.55218721037066","54.43694305087189","26.372689816658934","72.55218721037066","57.39532981391159","43.98477344842151","77.65944051881681"
"7000","36.91121064217806","11.432121801695741","61.41055307688082","69.86952709392968","67.24836055739473","71.44395585489683","69.86952709392968","67.24836055739473","71.44395585489683","52.479974504398946","38.23038698984858","59.803025956655475"
"8000","28.286753492289858","26.011539798232597","30.94067410588341","62.62208027518312","57.38082201323215","68.01530943537509","62.62208027518312","57.38082201323215","68.01530943537509","44.56341695449358","11.844424715993899","64.84280746831362"
"9000","73.06264118520106","71.93142740412529","75.2549227336063","66.8217230007861","61.41314534022542","70.36470219256358","66.8217230007861","61.41314534022542","70.36470219256358","59.364230859561054","56.35806706349689","62.98868875818046"
"10000","60.85912475013364","52.339111030296884","67.5023331819808","62.38809574972794","56.89272122590339","68.16340888244085","62.38809574972794","56.89272122590339","68.16340888244085","57.95392735357874","52.1739848193817","62.570697784069495"
"11000","40.050779721609096","12.391794913773596","68.71613573431733","70.39574116420089","55.79928248782628","78.50104053743743","70.39574116420089","55.79928248782628","78.50104053743743","39.89944334465713","10.294083448753685","56.90281441569894"
"12000","54.68976201360217","40.115073592632115","75.18679663263674","67.39060440187893","63.71364051386317","69.32548744861695","67.39060440187893","63.71364051386317","69.32548744861695","49.600920397810945","27.074145336671062","69.01314154381049"
"13000","67.7707984048814","45.468652249211885","81.5770178441054","61.120338657013804","48.171637969359296","68.59023454390916","61.120338657013804","48.171637969359296","68.59023454390916","36.7937332131427","28.669436527294224","43.26327997723675"
"14000","63.903023460528324","56.12420119230097","72.65137537494837","66.25398219180799","64.18398570542811","69.95221916357968","66.25398219180799","64.18398570542811","69.95221916357968","33.78786849879225","13.9086951137194","55.352674065393295"
"15000","41.8872890107794","7.244527214030278","65.65427346971919","69.72722572120908","61.32944861444959","76.67525479611712","69.72722572120908","61.32944861444959","76.67525479611712","38.62647574435635","4.935399127125713","56.60492593239416"
"16000","62.82431966950448","52.118234068090295","78.15110402781794","73.24011949093962","71.67065194778296","75.46021871180444","73.24011949093962","71.67065194778296","75.46021871180444","24.778879238272257","4.324685612429782","61.89888193808477"
"17000","45.94684004140269","15.024301111306485","62.04551595463398","65.66359003436565","64.91200591955423","66.07728945144463","65.66359003436565","64.91200591955423","66.07728945144463","13.948509369551111","4.844349336703666","30.033741251703628"
"18000","65.29515766597073","58.72258291561375","73.94509792005469","67.63196342750929","62.85018581079851","73.09413339149228","67.63196342750929","62.85018581079851","73.09413339149228","33.18124070616918","4.163255126053622","60.11621994823162"
"19000","58.55781741496247","50.40315845911998","70.52538813302934","67.88200489034489","58.661935250666296","74.45307815642857","67.88200489034489","58.661935250666296","74.45307815642857","8.52824399565643","5.528327148989977","12.194552411061931"
"20000","60.115334076190855","44.61731899683812","69.41947425233018","72.54754987372907","70.96016384325145","73.79203973882973","72.54754987372907","70.96016384325145","73.79203973882973","13.946142574833752","4.748598865011615","30.740246602955196"
"21000","31.129541700118796","4.822565189587431","68.46802693389257","78.67079835907106","71.22549629610742","86.47742866612295","33.112021369331906","23.987604490374835","42.778043866545886","42.30826944650467","28.10657902452372","55.635669577741155"
"22000","23.518957675853056","6.81559087823168","36.13427439246235","80.54673449275576","75.86400221403323","83.14005593559715","35.60563798873742","24.11306339948127","48.046594308984986","29.70581594581917","4.990142229800068","49.13183060806425"
"23000","18.93720030768918","5.345218759321324","27.188060918206453","84.71826241738914","82.36055126903388","87.61561172920015","43.91280351685811","35.11571032501056","51.23452002456715","53.318180476995614","20.83910860761104","73.3919498700515"
"24000","17.090760902638724","-0.11091782133147625","45.72917966804439","79.6909781244063","77.15396769106474","82.92085101552077","44.46168740703889","41.657599307622434","46.99233616936389","46.13720304603661","24.75973298496218","69.49911173729755"
"25000","25.712583771401356","-0.12016107462629953","77.37282959599321","79.77385580984429","70.13643216567144","85.33723198093128","46.97263920042383","39.01328501409594","56.83505188306898","45.1533234548699","10.652339231567161","64.97017549152724"
"26000","19.99562258607862","-0.1187785660222895","60.21573341675598","80.49596082598912","75.07148337630034","83.808205013744","47.22336316759513","31.87629157753452","57.3054225685495","32.89549665851253","5.673931053268821","63.211634464887055"
"27000","7.657978322215231","-0.11266281179303297","23.19725645738913","80.33389439714077","75.60946586129617","83.93815022179571","64.87564184572499","59.97523728239046","73.86311836704377","67.83745097502577","66.0381711953564","70.48088934855734"
"28000","0.7200351949735988","-0.1442938070399636","2.441999935679832","75.91410398322331","60.82052816192734","84.38780494766375","46.181229638243224","30.656313773094546","54.200331158611114","41.7942113216754","9.23977338916388","63.73265448094914"
"29000","5.65173531750296","-0.10450461289554876","14.200261001243305","83.54970955999755","80.84160986579317","85.00122202891771","54.30006489223265","43.77974600160512","62.94100684114801","48.49099653903241","38.05075993877974","64.14948941929933"
"30000","1.7338328724373717","1.4872725242721174","2.099007094324061","79.8946600539566","73.0143518144469","84.10715088302157","66.28876636773747","63.24101810187606","69.52326462908488","54.98364823897136","27.14488414595948","76.99968558723536"
"31000","5.958700739299242","2.570509486927536","8.922341265286738","82.83907002147471","80.74180411617498","84.34734584614422","66.88247852216006","56.277861320424584","74.77935055207502","67.04121012653249","60.31944255974664","77.44009369446259"
"32000","5.094009429187264","3.0140380970106713","9.206710762443379","76.19426773044644","68.24338636247317","83.21888351853104","65.87949643962935","54.21164076011801","75.22566712597288","64.31681515409169","60.02200683492498","71.49335290048181"
"33000","2.1915066309468334","1.3421114919594392","3.8161825543407293","81.49033985688983","79.6241092929781","83.12722592611821","66.01043321623679","57.51331115105991","75.67512687777183","54.78310418313371","38.17270052492041","74.93256458571875"
"34000","2.6287608743746698","1.1468929226914997","3.5443238330465276","83.12511903515963","82.52143774229336","83.77593809027094","49.093036904366464","37.530552577643135","56.53831060944985","70.36620027666841","64.88995577102715","78.51462948205148"
"35000","1.9415317157747","1.3296381149069285","2.9350960651443545","76.95721089591662","66.01187987716493","83.55925009447883","46.89324705842919","33.707934635717166","68.23525918231579","67.48858682618554","58.986621590682155","74.67865734514275"
"36000","0.8749730845597258","0.7949898040691914","0.9549558819113048","76.27623541349656","73.44812373739721","77.69593379981107","49.47824783239704","6.682144103759545","75.99059476403062","59.94517937828456","48.276281782667375","69.85389795939234"
"37000","1.7073925428317571","0.8452236404608975","3.3474086453563645","81.95433755138356","79.13188796339527","83.89867652179473","43.03302994212596","5.30568554643199","64.31549215717074","69.13789493893853","58.61119139889546","76.60022995982699"
"38000","2.6363571938323602","0.8103397994820398","6.1191738817039045","81.7615007640401","78.85851209674419","83.91478079312462","59.044092876533036","48.582667632849066","69.83977315981089","61.937181931220586","56.203939205728204","70.41041656683049"
"39000","1.05859342356384","0.6282319987876285","1.8723049931794657","81.84756032973327","79.25226611346197","83.4953369418249","57.79177113579119","32.290239655094275","81.21122137021538","63.57687226099796","47.05504640738068","72.41102527483851"
"40000","8.235646565021034","0.6942557262914048","19.137238708703176","82.71402706633076","79.50923653868301","85.53907272986235","54.32910389426771","47.83535636137436","62.632635332141994","61.79856185801103","54.96449977119878","71.3855478417207"
